waypoint1	waypoint2	distance_m	duration_s
Cape Canaveral, FL	Gateway Arch, Washington Avenue, St Louis, MO	1684309	53709
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Taliesin, County Road C, Spring Green, Wisconsin	760692	25343
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Hanford Site, Benton County, WA	1586051	51552
Shelburne Farms, Harbor Road, Shelburne, VT	White House, Pennsylvania Avenue Northwest, Washington, DC	815727	30501
Toltec Mounds, Scott, AR	Fort Sumter National Monument, Sullivan's Island, SC	1309910	43611
Shelburne Farms, Harbor Road, Shelburne, VT	San Andreas Fault, San Benito County, CA	4988674	165123
Craters of the Moon National Monument & Preserve, Arco, ID	New Castle Historic District, Delaware	3799076	125459
Shelburne Farms, Harbor Road, Shelburne, VT	Columbia River Gorge National Scenic Area, Oregon	4676038	154286
French Quarter, New Orleans, LA	Ashfall Fossil Bed, Royal, NE	1916780	65306
The Breakers, Ochre Point Avenue, Newport, RI	Olympia Entertainment, Woodward Avenue, Detroit, MI	1201574	41180
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1271563	41645
Mount Vernon, Fairfax County, Virginia	Ashfall Fossil Bed, Royal, NE	2121840	71736
Taliesin, County Road C, Spring Green, Wisconsin	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1485999	48318
Ashfall Fossil Bed, Royal, NE	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2609776	86305
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Congress Hall, Congress Place, Cape May, NJ 08204	440711	16089
The Breakers, Ochre Point Avenue, Newport, RI	Grand Canyon National Park, Arizona	4129628	135501
Shelburne Farms, Harbor Road, Shelburne, VT	Glacier National Park, West Glacier, MT	3923595	134241
Carlsbad Caverns National Park, Carlsbad, NM	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1374729	46713
Pikes Peak, Colorado	Grand Canyon National Park, Arizona	973994	38556
Wright Brothers National Memorial Visitor Center, Manteo, NC	Pikes Peak, Colorado	3006046	99860
Craters of the Moon National Monument & Preserve, Arco, ID	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2367353	77196
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Wright Brothers National Memorial Visitor Center, Manteo, NC	905467	34613
USS Alabama, Battleship Parkway, Mobile, AL	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2494702	83431
Hanford Site, Benton County, WA	Fort Sumter National Monument, Sullivan's Island, SC	4461509	143963
Liberty Bell, 6th Street, Philadelphia, PA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1339772	44555
The Breakers, Ochre Point Avenue, Newport, RI	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1632118	55615
The Breakers, Ochre Point Avenue, Newport, RI	The Alamo, Alamo Plaza, San Antonio, TX	3223524	105975
Wright Brothers National Memorial Visitor Center, Manteo, NC	Congress Hall, Congress Place, Cape May, NJ 08204	448155	23747
Shelburne Farms, Harbor Road, Shelburne, VT	Carlsbad Caverns National Park, Carlsbad, NM	3483464	120037
Cape Canaveral, FL	Bryce Canyon National Park, Hwy 63, Bryce, UT	3739594	124152
Pikes Peak, Colorado	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1787044	60791
San Andreas Fault, San Benito County, CA	Lost World Caverns, Lewisburg, WV	4233272	135783
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	New Castle Historic District, Delaware	1876337	64324
Terrace Hill, Grand Avenue, Des Moines, IA	San Andreas Fault, San Benito County, CA	3029552	97044
Toltec Mounds, Scott, AR	Fort Snelling, Tower Avenue, Saint Paul, MN	1399583	44781
Craters of the Moon National Monument & Preserve, Arco, ID	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1222590	40995
The Breakers, Ochre Point Avenue, Newport, RI	Glacier National Park, West Glacier, MT	4038048	135310
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	New Castle Historic District, Delaware	484456	17754
Cape Canaveral, FL	Acadia National Park, Maine	2532824	84632
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Statue of Liberty, Liberty Island, NYC, NY	1973392	66712
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Craters of the Moon National Monument & Preserve, Arco, ID	1100123	41870
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Terrace Hill, Grand Avenue, Des Moines, IA	333113	11215
San Andreas Fault, San Benito County, CA	Wright Brothers National Memorial Visitor Center, Manteo, NC	4699698	152179
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Graceland, Elvis Presley Boulevard, Memphis, TN	805016	26751
Craters of the Moon National Monument & Preserve, Arco, ID	USS Constitution, Boston, MA	4066911	132549
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Olympia Entertainment, Woodward Avenue, Detroit, MI	1731916	57583
Yellowstone National Park, WY 82190	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2134234	74013
Glacier National Park, West Glacier, MT	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2894639	99476
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1954380	62884
Congress Hall, Congress Place, Cape May, NJ 08204	Fort Sumter National Monument, Sullivan's Island, SC	1160225	39754
Shelburne Farms, Harbor Road, Shelburne, VT	Grand Canyon National Park, Arizona	4087112	135156
Hanford Site, Benton County, WA	USS Constitution, Boston, MA	4699823	153033
Graceland, Elvis Presley Boulevard, Memphis, TN	Hanford Site, Benton County, WA	3425764	112518
USS Constitution, Boston, MA	Ashfall Fossil Bed, Royal, NE	2559004	86405
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Shelburne Farms, Harbor Road, Shelburne, VT	3167088	107665
USS Alabama, Battleship Parkway, Mobile, AL	Statue of Liberty, Liberty Island, NYC, NY	1924035	63443
Taliesin, County Road C, Spring Green, Wisconsin	The Alamo, Alamo Plaza, San Antonio, TX	2046331	65654
The Breakers, Ochre Point Avenue, Newport, RI	French Quarter, New Orleans, LA	2389577	79078
Shelburne Farms, Harbor Road, Shelburne, VT	French Quarter, New Orleans, LA	2527076	83700
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	San Andreas Fault, San Benito County, CA	3796749	122084
Terrace Hill, Grand Avenue, Des Moines, IA	The Breakers, Ochre Point Avenue, Newport, RI	2075619	69538
Graceland, Elvis Presley Boulevard, Memphis, TN	New Castle Historic District, Delaware	1570606	51937
San Andreas Fault, San Benito County, CA	Glacier National Park, West Glacier, MT	2190913	74514
Terrace Hill, Grand Avenue, Des Moines, IA	Shelburne Farms, Harbor Road, Shelburne, VT	1961166	68468
Gateway Arch, Washington Avenue, St Louis, MO	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1303092	43755
Liberty Bell, 6th Street, Philadelphia, PA	Statue of Liberty, Liberty Island, NYC, NY	151962	6043
Carlsbad Caverns National Park, Carlsbad, NM	USS Constitution, Boston, MA	3599410	121316
San Andreas Fault, San Benito County, CA	Fort Snelling, Tower Avenue, Saint Paul, MN	3294713	108401
Wright Brothers National Memorial Visitor Center, Manteo, NC	White House, Pennsylvania Avenue Northwest, Washington, DC	462796	16916
Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3288988	105207
Toltec Mounds, Scott, AR	Graceland, Elvis Presley Boulevard, Memphis, TN	229031	7951
Statue of Liberty, Liberty Island, NYC, NY	Gateway Arch, Washington Avenue, St Louis, MO	1532676	52256
Graceland, Elvis Presley Boulevard, Memphis, TN	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1963583	64635
Mount Vernon, Fairfax County, Virginia	Grand Canyon National Park, Arizona	3665067	116851
Wright Brothers National Memorial Visitor Center, Manteo, NC	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4874201	156275
USS Constitution, Boston, MA	French Quarter, New Orleans, LA	2454093	80405
White House, Pennsylvania Avenue Northwest, Washington, DC	Statue of Liberty, Liberty Island, NYC, NY	362725	13529
Ashfall Fossil Bed, Royal, NE	Glacier National Park, West Glacier, MT	1691765	60397
Terrace Hill, Grand Avenue, Des Moines, IA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2891033	91475
Carlsbad Caverns National Park, Carlsbad, NM	Glacier National Park, West Glacier, MT	2483417	83906
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	New Castle Historic District, Delaware	2359410	77959
Hoover Dam, NV	Statue of Liberty, Liberty Island, NYC, NY	4078427	131726
Shelburne Farms, Harbor Road, Shelburne, VT	Bryce Canyon National Park, Hwy 63, Bryce, UT	3938537	131628
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	French Quarter, New Orleans, LA	1413656	47943
USS Alabama, Battleship Parkway, Mobile, AL	Terrace Hill, Grand Avenue, Des Moines, IA	1568964	54581
Hanford Site, Benton County, WA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	4385252	142720
French Quarter, New Orleans, LA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1196556	38645
Hoover Dam, NV	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2703190	85402
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	French Quarter, New Orleans, LA	2293165	74916
Hanford Site, Benton County, WA	Cape Canaveral, FL	4766469	152673
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	White House, Pennsylvania Avenue Northwest, Washington, DC	2624980	86273
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Olympia Entertainment, Woodward Avenue, Detroit, MI	1220596	42219
Carlsbad Caverns National Park, Carlsbad, NM	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2281669	80307
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Grand Canyon National Park, Arizona	2254207	71839
USS Constitution, Boston, MA	Olympia Entertainment, Woodward Avenue, Detroit, MI	1157988	39544
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Wright Brothers National Memorial Visitor Center, Manteo, NC	2302762	76129
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Grand Canyon National Park, Arizona	1591868	52162
Mount Vernon, Fairfax County, Virginia	Fort Sumter National Monument, Sullivan's Island, SC	833917	26773
Statue of Liberty, Liberty Island, NYC, NY	The Alamo, Alamo Plaza, San Antonio, TX	2933460	94860
Hanford Site, Benton County, WA	Acadia National Park, Maine	5129430	168127
USS Alabama, Battleship Parkway, Mobile, AL	The Alamo, Alamo Plaza, San Antonio, TX	1069098	34228
Columbia River Gorge National Scenic Area, Oregon	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	3504228	113055
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1508650	52479
Liberty Bell, 6th Street, Philadelphia, PA	Lost World Caverns, Lewisburg, WV	637355	21587
USS Alabama, Battleship Parkway, Mobile, AL	Bryce Canyon National Park, Hwy 63, Bryce, UT	2859726	96881
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	996021	33100
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Yellowstone National Park, WY 82190	2674069	90435
Hoover Dam, NV	San Andreas Fault, San Benito County, CA	763736	27404
Gateway Arch, Washington Avenue, St Louis, MO	Glacier National Park, West Glacier, MT	2628822	89235
Mount Vernon, Fairfax County, Virginia	Bryce Canyon National Park, Hwy 63, Bryce, UT	3597733	117900
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Ashfall Fossil Bed, Royal, NE	2649100	91200
Bryce Canyon National Park, Hwy 63, Bryce, UT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1328462	43497
San Andreas Fault, San Benito County, CA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	4209966	136875
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Taliesin, County Road C, Spring Green, Wisconsin	1440063	46409
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Fort Snelling, Tower Avenue, Saint Paul, MN	1402360	44596
Hoover Dam, NV	USS Constitution, Boston, MA	4427850	143274
Liberty Bell, 6th Street, Philadelphia, PA	White House, Pennsylvania Avenue Northwest, Washington, DC	222250	8641
Gateway Arch, Washington Avenue, St Louis, MO	Fort Snelling, Tower Avenue, Saint Paul, MN	847947	30144
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Glacier National Park, West Glacier, MT	4152680	140348
Fort Snelling, Tower Avenue, Saint Paul, MN	Grand Canyon National Park, Arizona	2517491	81762
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Gateway Arch, Washington Avenue, St Louis, MO	555304	18644
Congress Hall, Congress Place, Cape May, NJ 08204	Grand Canyon National Park, Arizona	3879839	125602
Vicksburg National Military Park, Clay Street, Vicksburg, MS	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1049651	34167
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Congress Hall, Congress Place, Cape May, NJ 08204	2014264	67825
Statue of Liberty, Liberty Island, NYC, NY	Bryce Canyon National Park, Hwy 63, Bryce, UT	3768500	122799
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1533836	51383
Taliesin, County Road C, Spring Green, Wisconsin	Yellowstone National Park, WY 82190	2075224	72149
Shelburne Farms, Harbor Road, Shelburne, VT	The Breakers, Ochre Point Avenue, Newport, RI	470924	17258
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	French Quarter, New Orleans, LA	3023850	97576
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	New Castle Historic District, Delaware	1187971	40241
San Andreas Fault, San Benito County, CA	Acadia National Park, Maine	5557263	181349
Toltec Mounds, Scott, AR	Terrace Hill, Grand Avenue, Des Moines, IA	1007426	32538
Toltec Mounds, Scott, AR	Wright Brothers National Memorial Visitor Center, Manteo, NC	1728198	57317
Toltec Mounds, Scott, AR	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	849822	27914
Pikes Peak, Colorado	Glacier National Park, West Glacier, MT	1632053	57705
USS Constitution, Boston, MA	The Alamo, Alamo Plaza, San Antonio, TX	3289321	107282
Terrace Hill, Grand Avenue, Des Moines, IA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	545245	17997
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1160395	39050
Hanford Site, Benton County, WA	Carlsbad Caverns National Park, Carlsbad, NM	2485831	86610
USS Alabama, Battleship Parkway, Mobile, AL	Gateway Arch, Washington Avenue, St Louis, MO	1043023	36000
Columbia River Gorge National Scenic Area, Oregon	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1044669	35450
New Castle Historic District, Delaware	USS Constitution, Boston, MA	641379	23278
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	3385471	114071
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Pikes Peak, Colorado	754485	28424
Olympia Entertainment, Woodward Avenue, Detroit, MI	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3850939	122474
Craters of the Moon National Monument & Preserve, Arco, ID	The Alamo, Alamo Plaza, San Antonio, TX	2521886	85067
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2932400	96249
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Shelburne Farms, Harbor Road, Shelburne, VT	2954965	100452
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	USS Constitution, Boston, MA	1696634	56942
Graceland, Elvis Presley Boulevard, Memphis, TN	The Alamo, Alamo Plaza, San Antonio, TX	1179943	38509
Toltec Mounds, Scott, AR	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	696215	22929
USS Alabama, Battleship Parkway, Mobile, AL	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1064711	34283
Carlsbad Caverns National Park, Carlsbad, NM	Fort Snelling, Tower Avenue, Saint Paul, MN	2166013	71753
Hanford Site, Benton County, WA	Bryce Canyon National Park, Hwy 63, Bryce, UT	1460920	47057
Toltec Mounds, Scott, AR	Taliesin, County Road C, Spring Green, Wisconsin	1206666	41628
Mount Vernon, Fairfax County, Virginia	The Breakers, Ochre Point Avenue, Newport, RI	674006	25401
The Breakers, Ochre Point Avenue, Newport, RI	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1770817	60421
Maryland State House, 100 State Cir, Annapolis, MD 21401	Terrace Hill, Grand Avenue, Des Moines, IA	1679749	55332
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	White House, Pennsylvania Avenue Northwest, Washington, DC	1754476	59507
Gateway Arch, Washington Avenue, St Louis, MO	Grand Canyon National Park, Arizona	2307961	72717
Maryland State House, 100 State Cir, Annapolis, MD 21401	Grand Canyon National Park, Arizona	3659127	118247
White House, Pennsylvania Avenue Northwest, Washington, DC	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1065777	36173
Acadia National Park, Maine	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2253691	76984
Shelburne Farms, Harbor Road, Shelburne, VT	Statue of Liberty, Liberty Island, NYC, NY	477387	18879
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Congress Hall, Congress Place, Cape May, NJ 08204	2437518	82535
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Cape Canaveral, FL	1541612	49003
Liberty Bell, 6th Street, Philadelphia, PA	Glacier National Park, West Glacier, MT	3700295	123040
Hoover Dam, NV	Hanford Site, Benton County, WA	1545185	52485
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1144699	36459
Statue of Liberty, Liberty Island, NYC, NY	Yellowstone National Park, WY 82190	3524053	119175
Liberty Bell, 6th Street, Philadelphia, PA	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	918887	31359
Hoover Dam, NV	Congress Hall, Congress Place, Cape May, NJ 08204	4119298	132839
Yellowstone National Park, WY 82190	Grand Canyon National Park, Arizona	1142593	44149
White House, Pennsylvania Avenue Northwest, Washington, DC	Gateway Arch, Washington Avenue, St Louis, MO	1318428	45204
Liberty Bell, 6th Street, Philadelphia, PA	Olympia Entertainment, Woodward Avenue, Detroit, MI	944184	31505
The Alamo, Alamo Plaza, San Antonio, TX	Fort Snelling, Tower Avenue, Saint Paul, MN	2008901	63971
Congress Hall, Congress Place, Cape May, NJ 08204	Ashfall Fossil Bed, Royal, NE	2345131	79089
The Alamo, Alamo Plaza, San Antonio, TX	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1607847	53924
San Andreas Fault, San Benito County, CA	Congress Hall, Congress Place, Cape May, NJ 08204	4814991	156809
Gateway Arch, Washington Avenue, St Louis, MO	Bryce Canyon National Park, Hwy 63, Bryce, UT	2276197	73341
USS Alabama, Battleship Parkway, Mobile, AL	Hoover Dam, NV	2861891	92906
Carlsbad Caverns National Park, Carlsbad, NM	New Castle Historic District, Delaware	3085939	103553
Carlsbad Caverns National Park, Carlsbad, NM	The Alamo, Alamo Plaza, San Antonio, TX	758015	26423
Carlsbad Caverns National Park, Carlsbad, NM	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	3434325	115391
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	USS Constitution, Boston, MA	251490	9163
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	The Breakers, Ochre Point Avenue, Newport, RI	145604	6359
Shelburne Farms, Harbor Road, Shelburne, VT	Gateway Arch, Washington Avenue, St Louis, MO	1780820	62923
Hoover Dam, NV	Pikes Peak, Colorado	1346909	47426
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Hanford Site, Benton County, WA	2663870	85877
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Hoover Dam, NV	2223982	70608
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Bryce Canyon National Park, Hwy 63, Bryce, UT	1417261	48534
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Hoover Dam, NV	1715316	56972
Liberty Bell, 6th Street, Philadelphia, PA	French Quarter, New Orleans, LA	1966566	63823
Graceland, Elvis Presley Boulevard, Memphis, TN	Fort Sumter National Monument, Sullivan's Island, SC	1084382	36047
San Andreas Fault, San Benito County, CA	Cape Canaveral, FL	4432637	143630
Carlsbad Caverns National Park, Carlsbad, NM	Columbia River Gorge National Scenic Area, Oregon	2526763	87797
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	French Quarter, New Orleans, LA	995629	31618
Olympia Entertainment, Woodward Avenue, Detroit, MI	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1575841	53083
White House, Pennsylvania Avenue Northwest, Washington, DC	Congress Hall, Congress Place, Cape May, NJ 08204	300705	12240
USS Alabama, Battleship Parkway, Mobile, AL	Hanford Site, Benton County, WA	4050755	131517
Graceland, Elvis Presley Boulevard, Memphis, TN	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	937381	34311
Hoover Dam, NV	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4515460	147852
Mount Vernon, Fairfax County, Virginia	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1280757	43906
White House, Pennsylvania Avenue Northwest, Washington, DC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3578269	117494
Acadia National Park, Maine	French Quarter, New Orleans, LA	2884290	95624
Liberty Bell, 6th Street, Philadelphia, PA	Yellowstone National Park, WY 82190	3474172	117273
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Statue of Liberty, Liberty Island, NYC, NY	2406284	81083
Terrace Hill, Grand Avenue, Des Moines, IA	Columbia River Gorge National Scenic Area, Oregon	2715601	86700
Craters of the Moon National Monument & Preserve, Arco, ID	Fort Sumter National Monument, Sullivan's Island, SC	3760470	121856
Pikes Peak, Colorado	Columbia River Gorge National Scenic Area, Oregon	1989641	67397
USS Constitution, Boston, MA	Fort Sumter National Monument, Sullivan's Island, SC	1565117	53243
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2672008	86961
Shelburne Farms, Harbor Road, Shelburne, VT	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1933249	66415
Shelburne Farms, Harbor Road, Shelburne, VT	Congress Hall, Congress Place, Cape May, NJ 08204	705691	26152
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Bryce Canyon National Park, Hwy 63, Bryce, UT	4170118	138148
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3363863	107141
San Andreas Fault, San Benito County, CA	Columbia River Gorge National Scenic Area, Oregon	1228419	42635
Hoover Dam, NV	Cape Canaveral, FL	3741759	120177
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Congress Hall, Congress Place, Cape May, NJ 08204	1939504	64109
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1452974	46585
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	USS Alabama, Battleship Parkway, Mobile, AL	2485277	84139
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Lost World Caverns, Lewisburg, WV	2685723	88506
Craters of the Moon National Monument & Preserve, Arco, ID	Yellowstone National Park, WY 82190	413219	17526
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Craters of the Moon National Monument & Preserve, Arco, ID	1957641	63753
The Breakers, Ochre Point Avenue, Newport, RI	Pikes Peak, Colorado	3199746	109066
Maryland State House, 100 State Cir, Annapolis, MD 21401	Olympia Entertainment, Woodward Avenue, Detroit, MI	886410	29704
Toltec Mounds, Scott, AR	Hoover Dam, NV	2312537	73064
Craters of the Moon National Monument & Preserve, Arco, ID	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2762301	89737
Carlsbad Caverns National Park, Carlsbad, NM	Ashfall Fossil Bed, Royal, NE	1584981	59676
Shelburne Farms, Harbor Road, Shelburne, VT	Acadia National Park, Maine	544911	23436
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Bryce Canyon National Park, Hwy 63, Bryce, UT	3573294	116435
USS Alabama, Battleship Parkway, Mobile, AL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3851355	120882
Gateway Arch, Washington Avenue, St Louis, MO	Olympia Entertainment, Woodward Avenue, Detroit, MI	857616	28721
USS Constitution, Boston, MA	Gateway Arch, Washington Avenue, St Louis, MO	1899364	64069
Maryland State House, 100 State Cir, Annapolis, MD 21401	Craters of the Moon National Monument & Preserve, Arco, ID	3647102	118406
San Andreas Fault, San Benito County, CA	Fort Sumter National Monument, Sullivan's Island, SC	4281410	138473
Wright Brothers National Memorial Visitor Center, Manteo, NC	Grand Canyon National Park, Arizona	3764546	120973
White House, Pennsylvania Avenue Northwest, Washington, DC	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1637791	52725
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Pikes Peak, Colorado	3109610	103980
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	The Alamo, Alamo Plaza, San Antonio, TX	2558847	84752
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Columbia River Gorge National Scenic Area, Oregon	3048674	97029
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	White House, Pennsylvania Avenue Northwest, Washington, DC	1066109	35425
USS Alabama, Battleship Parkway, Mobile, AL	Carlsbad Caverns National Park, Carlsbad, NM	1744227	59939
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	The Alamo, Alamo Plaza, San Antonio, TX	1645458	53310
USS Alabama, Battleship Parkway, Mobile, AL	The Breakers, Ochre Point Avenue, Newport, RI	2214605	74421
Hoover Dam, NV	The Alamo, Alamo Plaza, San Antonio, TX	2012743	63275
Carlsbad Caverns National Park, Carlsbad, NM	French Quarter, New Orleans, LA	1626516	54348
Toltec Mounds, Scott, AR	San Andreas Fault, San Benito County, CA	3004953	97302
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Craters of the Moon National Monument & Preserve, Arco, ID	2873247	93460
Carlsbad Caverns National Park, Carlsbad, NM	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2122087	70306
Gateway Arch, Washington Avenue, St Louis, MO	Columbia River Gorge National Scenic Area, Oregon	3129086	100814
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	New Castle Historic District, Delaware	868799	30943
Hanford Site, Benton County, WA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	3463296	111867
